source,target
2625,43468
2625,69102
2625,70132
2796,40999
2796,2271
2796,66814
2796,18005
2796,67615
2796,67633
2796,49767
2796,67712
2796,68551
2796,69135
2796,69306
2796,69375
2796,70385
2796,70757
2796,71017
2796,3532
2796,71117
2796,71226
2796,71605
2796,41117
2843,68471
2843,68150
2843,68360
2843,7352
2843,70265
2897,24555
2897,15247
2930,4598
2930,11320
2930,25248
2930,8350
2930,41117
2930,20334
2930,30891
2930,8246
2978,58
2978,101
2978,1441
2978,2522
2978,3072
2978,3558
2978,3554
2978,3719
2978,5006
2978,5386
2978,6641
2978,7644
2978,15793
2978,18260
3063,1050
3063,1210
3063,2522
3063,11571
3063,26382
3063,16571
3063,12993
3063,3568
3063,18260
3070,32150
3070,19623
3070,5006
3070,15793
3070,12993
3070,3568
3072,2978
3072,8580
3072,12993
3072,37919
3126,74315
3126,74310
3126,73853
3126,11453
3126,73979
3126,8413
3126,74048
3126,74395
3126,73675
3126,73959
3126,73704
3126,75529
3126,75532
3126,75592
3126,75777
3130,23121
3130,45200
3130,48979
3130,83770
3130,85444
3130,132532
3172,79070
3172,78674
3172,79131
3172,79136
3172,67801
3172,78476
3172,79204
3172,57258
3172,64596
3172,80976
3172,80996
3232,1210
3232,63395
3232,74590
3232,51538
3232,75381
3232,67712
3232,75495
3232,75498
3232,30369
3232,50885
3232,57258
3232,76467
3232,61285
3232,73107
3232,77020
3232,77023
3232,77231
3232,77330
3232,77769
3232,34015
3232,16412
3232,78139
3232,75202
3232,78156
3232,7032
3232,78454
3232,78455
3232,78463
3232,52893
3272,683
3272,1000
3272,41117
3272,10574
3272,20334
3272,8246
3272,13343
3272,40246
3272,50666
3272,4597
3272,19289
3272,1605
3291,189
3291,1891
3291,5867
3291,6228
3291,5935
3291,8413
3291,25855
3291,25994
3291,26198
3291,38212
3291,41067
3291,46736
3291,48979
3291,50628
3291,51538
3291,67915
3291,68596
3291,72964
3291,74923
3291,76968
3291,77003
3291,76966
3291,84931
3291,86306
3291,106825
3291,107029
3291,107369
3291,124980
3291,135563
3291,147122
3291,148518
3335,650
3335,1000
3335,2522
3335,1891
3335,25994
3335,9624
3335,3361
3335,6472
3335,24988
3335,12022
3335,18005
3335,5386
3335,3554
3335,3558
3335,8077
3335,12789
3335,12185
3335,5935
3335,5006
3335,4598
3335,12793
3335,24491
3361,650
3361,3072
3361,6472
3361,3335
3361,68758
3361,27486
3361,80481
3361,80591
3361,15445
3361,6577
3361,8066
3361,19082
3464,83770
3464,83978
3464,84103
3464,75532
3464,84253
3464,84160
3464,35512
3464,85648
3464,86092
3464,59976
3464,4294
3464,86306
3464,86365
3503,224
3503,974
3503,8885
3503,9423
3503,81205
3503,84433
3503,85043
3503,85185
3503,85298
3532,58
3532,650
3532,1392
3532,8609
3532,13174
3532,13422
3532,14501
3532,15247
3532,18005
3532,19082
3532,25897
3532,46933
3554,2522
3554,2978
3554,3558
3554,7644
3554,3335
3554,15306
3554,5006
3558,2522
3558,2978
3558,18260
3558,3335
3558,3554
3558,5006
3558,15306
3561,101
3561,483
3561,585
3561,1886
3561,3719
3561,9602
3561,18605
3568,2625
3568,3063
3568,3070
3641,189
3641,1699
3641,85607
3641,31289
3641,85908
3641,35734
3641,84544
3641,87855
3641,87857
3641,87859
3641,87876
3641,88047
3641,12198
3641,88398
3641,20235
3641,88625
3641,88627
3641,40977
3641,88704
3641,88767
3641,88775
3641,79383
3641,88786
3641,88853
3641,88861
3641,88863
3641,88949
3641,88982
3641,72294
3641,89050
3641,67633
3641,89182
3641,89184
3719,1629
3719,2978
3719,3561
3719,18651
3719,9754
3719,6641
3719,6658
3784,3172
3784,85390
3784,85659
3784,85673
3784,45696
3784,85750
3784,85877
3784,79888
3784,85994
3784,86006
3784,86597
3784,50626
3784,4673
3784,86863
3784,88280
3784,87521
3784,88570
3784,88928
3784,74006
3784,4671
3784,89128
3784,49148
3784,89505
3784,89596
3784,89602
3784,89936
3784,90216
3784,76732
3784,90408
3784,90584
3784,90682
3784,90686
3784,39596
3784,90877
3784,90961
3784,90962
3792,52504
3792,59744
3792,92754
3792,149520
3818,13343
3818,11320
3818,12056
3818,12854
3818,12185
3818,19289
3977,1022
3977,26382
3977,6577
3984,1210
3984,19082
3984,19623
3984,24555
3984,19310
3984,15251
3984,5006
3984,15793
3984,75750
3984,13174
3991,1891
3991,6228
3991,5867
3991,25855
3991,26309
3991,86306
3991,87521
3991,92551
3991,95241
3991,110123
4078,27428
4078,9855
4078,96987
4078,47985
4078,97543
4078,94340
4078,9423
4078,33391
4078,8885
4078,7789
4078,39244
4157,308
4157,224
4157,8894
4157,93798
4157,93797
4157,8999
4157,73757
4238,4078
4238,4972
4238,6537
4238,7032
4238,8894
4238,9855
4238,11059
4238,34531
4238,81205
4238,84090
4238,85265
4238,96199
4238,97796
4238,97875
4294,1050
4294,1210
4294,1441
4294,7459
4294,8077
4294,97893
4294,97844
4362,60
4362,683
4362,1136
4362,1605
4362,11359
4362,103095
4362,12185
4362,8580
4362,12393
4502,102846
4502,102390
4502,39189
4502,102516
4502,101181
4502,49122
4502,98874
4502,5935
4502,103922
4502,22146
4537,58
4537,3719
4537,106826
4537,107029
4537,107369
4537,104068
4537,107501
4537,22085
4537,107662
4537,107664
4537,107731
4537,107734
4537,50383
4537,107739
4537,107740
4537,107914
4537,107916
4537,108115
4537,108120
4537,108123
4537,108125
4537,18673
4537,108211
4537,108483
4537,88280
4537,108799
4537,108803
4537,108858
4537,97935
4537,24161
4537,46980
4537,109234
4537,109742
4537,57736
4537,109899
4537,61633
4537,110034
4537,53824
4537,105643
4537,110167
4537,110178
4537,39596
4537,111235
4537,111245
4537,56166
4537,111289
4537,111334
4537,28304
4595,650
4595,104066
4595,21970
4595,105919
4595,106055
4595,106292
4595,106386
4595,43733
4595,106536
4597,1000
4597,3272
4597,5599
4597,1605
4597,17954
4597,17786
4597,12789
4597,25248
4597,8651
4598,1000
4598,2930
4598,7749
4598,30891
4598,12854
4598,11151
4598,5889
4598,34738
4598,649
4598,26802
4598,19289
4598,6577
4598,12793
4598,12185
4645,8885
4645,108028
4645,6537
4671,120083
4673,1210
4699,2352
4699,9624
4699,14389
4699,9602
4699,15793
4699,15732
4699,11095
4766,189
4766,38212
4766,34203
4766,109723
4766,109642
4766,77069
4766,109720
4766,27900
4766,109998
4766,34615
4800,4830
4800,18910
4800,8066
4800,21221
4800,26607
4800,12993
4800,16571
4800,8580
4800,20647
4800,7644
4800,17711
4800,5386
4800,8077
4800,11571
4800,14051
4800,13422
4800,15251
4830,58
4830,101
4830,746
4830,1392
4830,2625
4830,4800
4830,7352
4830,8066
4830,8434
4830,8609
4830,9602
4830,11571
4830,11645
4830,15247
4830,15445
4830,19082
4830,18910
4830,22918
4830,24555
4830,24988
4830,26802
4830,27486
4830,27237
4830,29050
4830,68758
4972,4238
4972,113245
4972,113500
4972,113580
4972,113573
4972,6537
5006,58
5006,2134
5006,2978
5006,3070
5006,3558
5006,3554
5006,3984
5006,22146
5006,8066
5006,19082
5006,19623
5006,5386
5006,18260
5006,13817
5006,9602
5006,7352
5006,20647
5006,7922
5006,15253
5006,15251
5006,17732
5006,11571
5006,15793
5054,4972
5054,77262
5054,120083
5054,120100
5054,85043
5054,120398
5054,85185
5054,121800
5054,121801
5054,63019
5054,41912
5054,121971
5054,122282
5054,122299
5054,73107
5054,122388
5054,122473
5054,122477
5142,58
5142,650
5142,1050
5142,3568
5142,26802
5142,119450
5142,649
5142,120955
5142,8824
5142,122063
5142,53875
5142,45798
5142,15739
5142,13222
5142,82628
5142,88513
5142,12993
5142,6577
5142,23286
5142,123528
5142,11571
5142,12134
5142,52756
5249,23564
5249,124015
5249,124360
5249,99558
5249,126873
5309,123379
5309,51827
5309,123017
5309,51408
5309,100351
5377,58
5377,483
5377,2134
5377,3558
5377,3568
5377,124106
5377,123738
5377,124479
5377,10195
5377,6577
5377,8077
5377,15247
5377,68758
5377,124980
5377,123999
5377,12930
5382,45853
5382,128081
5382,115348
5382,130681
5382,130797
5382,77432
5382,69748
5386,101
5386,974
5386,1594
5386,2978
5386,3532
5386,5006
5386,25897
5386,13343
5386,3335
5386,25248
5525,120460
5525,68039
5525,106876
5525,80462
5525,108716
5525,104233
5599,58
5599,1000
5599,3818
5599,4597
5599,24988
5599,18852
5599,24268
5599,33913
5599,8643
5599,23651
5792,62483
5792,85659
5792,128227
5792,112925
5792,127874
5792,126708
5792,62693
5792,128120
5792,126691
5792,126804
5792,127937
5792,63770
5792,5386
5792,86863
5792,129432
5792,129433
5792,53384
5792,129535
5792,129847
5792,130606
5792,67449
5792,130822
5792,130828
5792,130928
5792,99937
5792,44803
5792,131112
5792,131113
5792,131254
5792,126873
5792,55043
5792,9364
5792,131350
5792,131406
5792,131412
5792,52504
5792,79131
5792,43751
5792,131516
5792,131884
5792,35685
5792,132013
5792,132021
5792,132137
5792,55243
5792,7098
5792,132650
5792,107734
5792,44672
5792,132778
5792,76629
5792,133133
5792,133138
5792,61448
5792,88001
5792,113245
5792,49328
5792,133582
5792,133586
5792,133727
5792,133730
5792,133945
5852,60
5852,8434
5852,16985
5852,11151
5852,5889
5867,1629
5867,2431
5867,3991
5867,6067
5867,1891
5867,6228
5867,8824
5867,126804
5867,73906
5867,61807
5867,83174
5867,72892
5867,42345
5867,11450
5867,25855
5867,95433
5867,83168
5867,148326
5867,26036
5867,69937
5867,97856
5867,33043
5867,76109
5867,57648
5867,11938
5867,89355
5867,29093
5867,43332
5867,95834
5867,52668
5867,147164
5867,123480
5867,28247
5867,79681
5867,62768
5867,71914
5867,67449
5867,73592
5867,63994
5867,70033
5867,86888
5867,39270
5867,140549
5867,25994
5867,47985
5867,88853
5867,62678
5867,66814
5867,44671
5867,20372
5867,149482
5867,91045
5867,57192
5867,136292
5867,113119
5867,73051
5867,19353
5867,149546
5867,78846
5867,86479
5867,94143
5867,64596
5867,16571
5867,79204
5867,78056
5867,83290
5867,2504
5867,88001
5867,142532
5867,28377
5867,146562
5867,1830
5867,146982
5867,98615
5867,77124
5867,135249
5867,100618
5867,69497
5867,27428
5867,39605
5889,3272
5889,4598
5889,7749
5889,18810
5889,18803
5895,137574
5935,224
5935,1392
5935,1273
5935,1435
5935,6478
5935,8514
5935,9294
5935,48985
5935,83174
5935,42345
5935,48826
5935,83168
5935,110311
5935,26036
5935,69937
5935,28070
5935,76109
5935,34763
5935,89355
5935,97856
5935,116130
5935,79681
5935,140549
5935,47985
5935,15306
5935,55083
5935,93716
5935,114649
5935,73051
5935,143417
5935,115890
5935,131350
5935,74762
5935,98136
5935,38096
5935,39244
5935,55597
5935,32983
5935,24587
5935,45187
5935,85327
5935,57809
5935,50503
5935,55272
5935,139954
5935,33708
5935,20907
5935,35685
5935,103327
5935,134051
5935,87167
5935,34040
5935,25904
5935,120854
5935,94520
5935,88001
5935,144863
5935,110034
5935,140030
5935,106427
5935,133586
5935,69497
5935,31881
5935,79525
5935,124631
5935,49834
5935,56372
6032,42384
6032,56379
6032,132397
6032,25897
6032,132869
6032,53875
6032,50484
6032,22146
6032,133754
6032,113245
6032,49834
6032,33708
6032,107149
6032,49325
6067,5867
6067,74590
6067,101874
6067,131832
6067,58141
6067,129001
6067,75202
6067,88520
6067,55826
6067,85265
6150,64647
6150,140404
6150,140339
6150,85994
6150,136486
6150,136292
6150,139954
6150,136067
6150,142567
6150,120100
6150,136827
6150,142914
6228,1629
6228,3991
6228,1891
6228,33043
6228,5867
6228,1830
6228,146562
6228,140855
6228,42345
6228,28377
6228,130136
6228,142532
6228,8824
6228,20372
6228,63994
6228,70033
6228,79681
6228,67449
6228,95433
6228,25994
6228,86888
6228,113119
6228,86479
6228,135249
6228,100618
6228,27428
6228,33391
6228,126804
6298,37926
6298,136827
6298,133161
6298,143681
6298,85994
6298,136486
6298,23323
6472,189
6472,3361
6472,9716
6472,9624
6472,13817
6472,15253
6472,18005
6472,24555
6472,25897
6472,68758
6474,189
6474,67915
6474,148518
6474,42120
6474,148686
6474,77003
6474,148777
6478,189
6478,1105
6478,150205
6478,32576
6478,61321
6478,150407
6478,5935
6478,21984
6478,110428
6478,32704
6479,44261
6537,4238
6537,4645
6537,4972
6537,107649
6537,54178
6537,84433
6537,84090
6537,82925
6537,94340
6537,11059
6537,55597
6537,63793
6641,1273
6641,2978
6641,146611
6641,26802
6641,146609
6641,59973
6641,18260
6641,88982
6658,2134
6658,39974
6658,24988
6658,94520
6658,63793
6658,96119
6658,78778
6658,8580
6763,650
6763,92549
6763,79070
6763,120565
6763,13174
6763,90112
6763,15253
6763,18910
6763,98679
6771,585
6771,119825
6771,111076
6771,124631
6771,39961
6771,8609
6771,57809
6771,132326
6839,308
6839,224
6839,143681
6839,79448
6839,50885
6839,8885
7032,4238
7032,96316
7032,85265
7032,96199
7032,147453
7032,102846
7032,81787
7032,111984
7032,78455
7032,4671
7032,148068
7067,7991
7067,23129
7067,87859
7067,72452
7067,28546
7067,88704
7067,85390
7067,79732
7098,189
7098,90408
7098,100423
7098,130822
7227,2134
7227,3554
7227,5006
7227,5377
7227,8066
7227,25797
7227,20293
7227,15445
7352,5006
7352,13283
7352,30513
7352,23286
7429,224
7429,3503
7429,55597
7429,84433
7429,27428
7429,50885
7429,148621
7429,10301
7429,8999
7429,9093
7429,107649
7429,79448
7429,74762
7429,39244
7436,224
7436,104068
7436,49016
7436,5935
7436,88570
7436,102857
7459,650
7459,4294
7459,13174
7459,21221
7459,19623
7459,18910
7459,12993
7459,29809
7481,189
7481,3784
7481,101036
7481,123480
7481,28247
7481,28377
7481,77003
7481,44671
7481,20372
7481,22288
7481,22295
7481,46736
7481,146908
7481,65635
7481,12198
7481,61969
7481,112325
7481,69706
7481,37926
7481,88513
7481,88982
7481,67180
7481,77261
7516,224
7516,46743
7516,129779
7519,224
7519,46353
7519,89355
7519,27578
7519,42008
7519,115557
7519,93131
7519,116837
7519,23564
7556,101
7556,3503
7556,7941
7556,98136
7556,8255
7556,92796
7556,15379
7556,69651
7556,50383
7556,56378
7556,130681
7556,88949
7644,101
7644,2978
7644,3558
7644,3554
7644,4800
7644,11571
7644,21221
7644,16571
7644,8580
7724,308
7737,308
7749,4598
7749,5889
7749,18269
7782,10372
7782,41012
7789,224
7789,4078
7789,4972
7789,24491
7789,11059
7789,39244
7789,50885
7789,86306
7810,189
7810,129432
7810,133190
7810,49785
7810,133361
7810,24581
7841,14326
7841,108483
7841,53824
7922,101
7922,974
7922,5006
7922,97796
7922,15379
7922,14302
7922,23906
7922,19310
7922,17732
7922,8077
7922,25711
7922,12993
7922,24555
7922,17711
7922,4830
7933,1021
7933,76
7933,135650
7933,72294
7933,122466
7933,56266
7933,19720
7933,37193
7933,71017
7933,99409
7933,137987
7933,130797
7941,14326
7941,28247
7941,44671
7941,48979
7941,69706
7941,72399
7941,84214
7941,85342
7941,85648
7941,88625
7966,11938
7966,83026
7966,69306
7966,30865
7966,77432
7966,43205
7966,125939
7970,1594
7970,2625
7970,5386
7970,7459
7970,27486
7970,18260
7970,25711
7991,746
7991,1435
7991,3503
7991,7067
7991,11936
7991,24268
7991,43363
7991,49834
7991,52050
7991,55243
7991,79226
7991,106642
7991,107950
7991,112023
7991,114929
8015,189
8015,21221
8015,67615
8015,140549
8015,147043
8066,101
8066,4800
8066,5006
8066,7227
8066,8077
8066,15793
8066,4830
8066,19310
8077,101
8077,1210
8077,4294
8077,5006
8077,7922
8077,19082
8077,13174
8077,8066
8077,3335
8077,16571
8077,15793
8077,18260
8246,683
8246,1000
8246,1136
8246,3272
8246,18852
8246,20419
8246,11645
8246,8467
8246,24926
8246,50666
8246,10574
8255,189
8255,25994
8255,32983
8255,35157
8255,51725
8255,51905
8255,68471
8255,76732
8255,76651
8255,105356
8350,60
8350,11151
8350,11359
8350,12185
8350,12789
8350,19289
8350,34738
8350,48201
8413,693
8413,3126
8413,73051
8413,143999
8413,82729
8413,62768
8413,38212
8413,97856
8413,25855
8413,38236
8434,1210
8434,1891
8434,25994
8434,25244
8467,60
8467,3272
8467,8246
8467,24988
8467,30891
8467,12582
8467,12393
8514,189
8514,585
8514,5867
8514,25994
8514,84084
8514,49240
8514,5935
8514,62623
8558,133586
8558,77261
8558,132612
8558,80856
8558,89936
8558,43516
8558,150040
8558,53528
8558,46309
8580,3072
8580,4800
8580,7644
8580,24555
8580,17711
8580,21221
8580,20647
8580,105527
8609,3532
8609,14784
8609,41117
8609,63777
8609,102857
8643,60
8643,5599
8643,9325
8643,57807
8643,20324
8643,8646
8643,54542
8643,34738
8646,60
8646,683
8646,3977
8646,8467
8646,9325
8646,11151
8646,20324
8646,12557
8646,34738
8646,1605
8647,60
8647,693
8647,18343
8651,60
8651,1919
8651,4597
8651,17786
8651,24988
8651,12582
8651,76916
8651,19289
8651,17954
8651,34738
8651,10574
8651,12789
8651,12557
8651,1605
8824,189
8824,1891
8824,6228
8824,5867
8824,5935
8824,25994
8824,114649
8824,21576
8824,41857
8824,67915
8824,47236
8824,23906
8824,33823
8824,1830
8824,78681
8824,146609
8824,139130
8885,3503
8885,4078
8885,4645
8885,11059
8885,9423
8885,97408
8894,4157
8894,4238
8894,9423
8894,9855
8894,84433
8894,107649
8934,115890
8934,61448
8934,146611
8999,1435
8999,4157
8999,4972
8999,7724
8999,8885
8999,39244
8999,132326
8999,140030
8999,132139
8999,9364
8999,63395
8999,97408
8999,29050
8999,9423
8999,135172
8999,107649
8999,124631
8999,129001
8999,94340
8999,96119
9060,2843
9060,27429
9060,38548
9060,58838
9060,63395
9060,126684
9093,9423
9093,11059
9093,55597
9093,68039
9093,79448
9294,189
9294,5935
9294,25855
9294,25994
9294,40246
9294,75475
9294,88094
9294,109434
9325,693
9325,8643
9325,8646
9325,9423
9325,11151
9325,20324
9325,20419
9364,79448
9364,9855
9364,11059
9364,55597
9423,3503
9423,4078
9423,8885
9423,9093
9423,9325
9423,8894
9423,94340
9423,75381
9423,9855
9423,17235
9423,108028
9602,3561
9602,4699
9602,5006
9602,18605
9602,34857
9602,20334
9624,1594
9624,4699
9624,6472
9624,3335
9624,18005
9624,15793
9624,16571
9624,19310
9624,15236
9698,45696
9698,111406
9698,96119
9716,189
9716,6472
9716,45696
9716,80481
9716,100030
9754,650
9754,1392
9754,2897
9754,3554
9754,3719
9754,3984
9754,8609
9754,26802
9754,23286
9754,48358
9754,12134
9754,62483
9754,74740
9855,4078
9855,4238
9855,9364
9855,8894
9855,9423
9855,82925
9855,107649
9855,39244
9914,15379
9957,7810
9957,29327
9957,34652
9957,40119
9957,55043
9957,69416
9957,76259
9957,79888
9957,85298
9960,50626
9960,39598
9960,107649
9960,42384
9960,140030
9960,41290
9960,4671
9960,85994
9960,40807
9960,50051
9960,4673
9960,107914
9960,27428
9960,100146
9960,52190
9960,95433
10043,189
10043,73890
10043,79628
10043,86114
10043,61470
10043,65153
10093,100879
10093,74762
10093,107649
10093,39244
10093,99937
10163,9423
10163,117266
10163,78574
10163,112361
